Date,Price,Open,High,Low,Vol.,Change %
03/27/2026,5.4670,5.4670,5.4670,5.4670,4.01K,0.38%
03/26/2026,5.4465,5.4635,5.4770,5.4250,547,-1.49%
03/25/2026,5.5290,5.5325,5.5325,5.4930,811,1.96%
03/24/2026,5.4225,5.3935,5.5000,5.3760,1.14K,-0.31%
03/23/2026,5.4395,5.4525,5.5000,5.4220,1.21K,1.82%
03/20/2026,5.3425,5.5145,5.5145,5.2680,1.39K,-1.67%
03/19/2026,5.4330,5.4800,5.4805,5.2895,1.35K,-2.18%
03/18/2026,5.5540,5.7215,5.7340,5.4400,1.99K,-3.01%
03/17/2026,5.7265,5.7420,5.7485,5.7000,703,-1.11%
03/16/2026,5.7905,5.6300,5.8095,5.6300,571,1.33%
03/13/2026,5.7145,5.7290,5.7920,5.6285,546,-1.89%
03/12/2026,5.8245,5.8520,5.8525,5.7740,636,-0.36%
03/11/2026,5.8455,5.8885,5.8885,5.7895,853,-0.99%
03/10/2026,5.9040,5.8445,5.9075,5.8295,737,1.78%
03/09/2026,5.8005,5.7230,5.8460,5.6300,1.06K,0.76%
03/06/2026,5.7570,5.7860,5.7920,5.7355,1.17K,0.07%
03/05/2026,5.7530,5.8490,5.8490,5.7300,1.71K,-1.74%
03/04/2026,5.8550,5.7905,5.8895,5.7890,736,1.41%
03/03/2026,5.7735,5.9100,5.9440,5.7200,1.49K,-2.05%
03/02/2026,5.8945,5.9665,6.0305,5.8770,1.70K,-1.83%
02/27/2026,6.0045,5.9595,6.0800,5.9595,3.04K,0.97%
02/26/2026,5.9470,5.9925,6.0005,5.9140,7.73K,-0.54%
02/25/2026,5.9795,5.9705,5.9830,5.9705,29.28K,0.95%
02/24/2026,5.9230,5.8540,5.9285,5.8540,937,2.60%
02/23/2026,5.7730,5.8800,5.8800,5.7505,764,-0.99%
02/20/2026,5.8310,5.7420,5.8605,5.7275,658,1.76%
02/19/2026,5.7300,5.7350,5.7350,5.7250,993,-1.10%
02/18/2026,5.7935,5.6670,5.8000,5.6670,1.16K,2.85%
02/17/2026,5.6330,5.6345,5.6365,5.6330,941,-2.75%
02/13/2026,5.7925,5.7955,5.7990,5.7000,1.58K,0.37%
02/12/2026,5.7710,5.9725,5.9725,5.7500,1.11K,-2.99%
02/11/2026,5.9490,5.9230,5.9525,5.9230,653,0.90%
02/10/2026,5.8960,5.8875,5.9010,5.8755,445,-0.82%
02/09/2026,5.9450,5.8795,5.9525,5.8795,542,1.39%
02/06/2026,5.8635,5.6500,5.8645,5.6500,421,1.11%
02/05/2026,5.7990,5.7770,5.8030,5.6800,884,-0.46%
