Date,Price,Open,High,Low,Vol.,Change %
03/27/2026,4371.8,4486.0,4552.1,4369.1,67.02K,2.51%
03/26/2026,4508.9,4376.9,4541.6,4348.2,238.78K,-3.85%
03/25/2026,4473.5,4503.3,4601.0,4458.2,238.01K,2.3%
03/24/2026,4414.8,4474.9,4485.6,4306.3,206.81K,1.53%
03/23/2026,4450.0,4410.4,4537.1,4100.0,392.43K,-3.6%
03/20/2026,4653.9,4492.0,4738.2,4478.4,220.77K,-2.47%
03/19/2026,4828.0,4651.9,4868.7,4505.0,297.07K,-4.99%
03/18/2026,5010.6,4823.9,5022.0,4809.3,206.24K,-3.68%
03/17/2026,5012.2,5011.3,5049.4,4977.0,115.45K,0.18%
03/16/2026,5010.0,5011.3,5044.5,4970.1,166.42K,-1.0%
03/13/2026,5084.0,5023.1,5132.4,5014.1,155.26K,-2.0%
03/12/2026,5185.4,5084.1,5197.8,5058.2,143.26K,-1.83%
03/11/2026,5194.0,5183.9,5230.9,5155.9,130.13K,-1.11%
03/10/2026,5152.4,5198.7,5248.7,5127.1,167.26K,1.86%
03/09/2026,5186.7,5148.7,5210.4,5021.2,170.73K,-0.19%
03/06/2026,5099.7,5181.3,5185.0,5071.0,148.51K,2.02%
03/05/2026,5155.7,5093.3,5204.3,5058.9,145.78K,-0.81%
03/04/2026,5110.0,5151.6,5218.3,5092.8,135.88K,0.54%
03/03/2026,5335.7,5099.5,5394.2,5005.0,259.69K,-3.99%
03/02/2026,5360.0,5335.9,5434.1,5272.9,220.57K,1.68%
02/27/2026,5201.9,5296.4,5299.0,5182.9,145.22K,1.97%
02/26/2026,5175.3,5201.5,5221.9,5144.8,127.52K,-0.47%
02/25/2026,5160.0,5183.7,5237.3,5135.9,107.73K,0.14%
02/24/2026,5247.5,5160.5,5269.4,5109.5,141.56K,-1.25%
02/23/2026,5128.8,5247.9,5257.3,5120.4,134.16K,3.29%
02/20/2026,5015.0,5130.0,5131.0,4999.3,127.97K,2.65%
02/19/2026,4993.7,5015.5,5042.8,4971.5,83.08K,0.12%
02/18/2026,4898.5,4996.1,5031.9,4868.5,93.32K,1.84%
02/17/2026,5015.2,4896.1,5021.4,4854.2,161.71K,-2.33%
02/16/2026,5050.0,5013.1,5074.4,4981.9,40.92K,-0.66%
02/13/2026,4950.0,5063.8,5069.1,4907.1,118.89K,2.33%
02/12/2026,5107.3,4941.4,5122.8,4900.0,155.55K,-3.08%
02/11/2026,5048.0,5107.8,5144.5,5036.3,125.37K,1.53%
02/10/2026,5084.3,5047.9,5102.7,5011.0,101.83K,-0.62%
02/09/2026,5003.6,5084.2,5111.1,4988.6,118.55K,2.1%
02/06/2026,4800.0,4988.6,4995.6,4670.0,171.36K,2.03%
02/05/2026,4986.6,4798.1,5045.0,4779.6,229.00K,-3.08%
02/04/2026,4966.1,4986.4,5113.9,4867.7,239.43K,1.04%
02/03/2026,4691.0,4970.5,5018.1,4690.2,251.31K,6.83%
02/02/2026,4816.0,4680.9,4905.6,4423.2,377.52K,-1.35%
01/30/2026,5410.0,4907.5,5480.2,4700.4,494.04K,-8.35%
