Date,Price,Open,High,Low,Vol.,Change %
03/27/2026,68.365,69.59,71.775,67.44,36.83K,2.44%
03/26/2026,71.505,68.125,72.385,66.705,54.81K,-6.22%
03/25/2026,71.48,71.445,74.8,71.07,41.31K,2.7%
03/24/2026,69.37,71.445,71.495,66.115,46.85K,3.01%
03/23/2026,66.85,69.32,71.03,61.21,86.91K,-0.49%
03/20/2026,72.83,67.81,74.62,67.74,49.06K,-4.78%
03/19/2026,75.365,72.81,76.755,65.55,79.03K,-6.16%
03/18/2026,79.39,75.42,80.32,75.015,46.78K,-5.63%
03/17/2026,80.92,79.46,82.76,78.375,27.45K,-1.51%
03/16/2026,80.295,81.0,81.82,77.125,41.70K,-0.42%
03/13/2026,83.91,80.645,85.62,79.52,46.98K,-5.25%
03/12/2026,86.065,83.955,87.695,83.12,33.00K,-1.85%
03/11/2026,88.505,85.91,89.705,84.555,38.14K,-4.11%
03/10/2026,87.275,88.57,90.385,86.805,39.81K,4.79%
03/09/2026,84.62,87.345,87.405,79.64,45.11K,3.6%
03/06/2026,82.555,84.695,85.335,81.785,40.35K,3.06%
03/05/2026,83.895,82.52,85.75,80.565,48.23K,-0.8%
03/04/2026,82.4,83.765,87.07,81.74,44.44K,0.35%
03/03/2026,89.69,82.3,91.605,78.06,97.12K,-7.38%
03/02/2026,96.0,89.61,97.3,86.725,79.13K,-3.95%
02/27/2026,89.075,94.385,94.76,88.305,51.90K,7.77%
02/26/2026,89.56,88.865,90.99,85.545,56.28K,-2.33%
02/25/2026,87.165,89.21,91.34,86.505,34.93K,1.95%
02/24/2026,88.04,87.07,88.75,84.605,66.36K,0.57%
02/23/2026,84.6,88.0,88.86,84.56,62.39K,6.87%
02/20/2026,78.475,84.57,84.645,77.285,55.40K,8.93%
02/19/2026,77.145,78.44,79.405,76.3,38.90K,1.09%
02/18/2026,73.58,77.13,78.32,72.25,44.90K,4.88%
02/17/2026,76.555,73.55,76.75,71.815,71.28K,-3.93%
02/16/2026,77.55,76.555,78.42,74.57,15.30K,-1.81%
02/13/2026,75.175,77.27,79.265,73.745,55.59K,2.1%
02/12/2026,84.125,75.01,84.875,74.37,85.26K,-10.62%
02/11/2026,80.5,84.085,86.12,80.415,60.10K,4.6%
02/10/2026,83.215,80.58,83.745,79.615,51.87K,-2.01%
02/09/2026,78.1,83.05,83.76,78.1,65.25K,8.0%
02/06/2026,70.36,77.525,77.92,63.9,105.48K,1.06%
02/05/2026,87.645,70.35,89.83,70.175,159.87K,-16.64%
02/04/2026,84.915,87.765,92.015,83.0,111.38K,5.36%
02/03/2026,79.22,84.915,89.1,79.01,123.47K,10.27%
02/02/2026,84.3,79.265,88.0,71.2,163.75K,0.93%
01/30/2026,115.885,85.25,118.45,74.0,306.58K,-25.5%
01/29/2026,116.625,115.785,121.785,106.61,190.65K,1.98%
01/28/2026,112.44,116.62,117.6,110.4,174.18K,10.06%
01/27/2026,104.015,112.345,113.55,102.9,220.65K,-2.73%
01/26/2026,104.6,103.89,117.7,101.7,312.35K,2.52%
01/23/2026,96.32,103.26,103.53,96.22,136.21K,7.15%
01/22/2026,92.79,96.215,96.735,90.68,104.61K,3.86%
01/21/2026,94.55,92.955,95.53,90.15,126.39K,-1.78%
01/20/2026,94.355,94.46,95.78,92.415,196.70K,0.19%
01/19/2026,90.605,94.28,94.705,90.5,77.01K,6.49%
01/16/2026,92.295,89.945,92.645,86.57,154.59K,-2.6%
01/15/2026,93.4,92.21,93.7,86.125,204.94K,0.9%
01/14/2026,86.9,93.185,93.56,86.75,210.01K,7.93%
01/13/2026,85.36,86.86,89.215,83.355,159.19K,2.08%
01/12/2026,80.505,85.155,86.34,79.9,145.96K,7.33%
01/09/2026,76.675,79.79,80.465,75.15,116.59K,6.18%
01/08/2026,77.96,76.69,78.9,73.53,121.27K,-1.19%
01/07/2026,81.285,77.98,82.585,76.08,148.09K,-3.77%
01/06/2026,76.53,81.22,81.485,75.7,136.24K,5.95%
01/05/2026,73.08,76.51,77.835,72.505,131.07K,7.74%
01/02/2026,71.5,72.265,74.21,70.515,99.46K,2.35%
12/31/2025,76.065,70.98,76.275,69.255,144.78K,-8.91%
12/30/2025,71.685,76.015,78.065,70.67,167.11K,7.88%
12/29/2025,80.0,71.64,82.67,70.215,248.84K,-7.2%
12/26/2025,72.725,79.675,79.7,72.72,171.04K,11.15%
12/24/2025,71.68,71.875,72.75,70.16,94.69K,1.04%
12/23/2025,69.08,71.61,71.795,68.725,127.44K,4.44%
12/22/2025,67.55,69.09,69.525,67.47,97.37K,2.37%
12/19/2025,65.415,67.395,67.68,64.465,94.53K,3.34%
12/18/2025,66.51,65.45,66.825,64.675,110.40K,-2.17%
12/17/2025,63.795,66.44,67.18,63.725,145.01K,4.92%
12/16/2025,64.11,63.795,64.205,62.115,95.02K,0.32%
12/15/2025,62.025,64.13,64.26,61.605,111.26K,3.42%
12/12/2025,63.985,62.085,65.085,61.015,187.30K,-3.88%
12/11/2025,62.235,63.975,64.72,61.78,131.32K,4.83%
12/10/2025,61.11,62.2,62.39,60.55,118.37K,2.24%
12/09/2025,58.515,61.16,61.295,57.99,115.71K,4.72%
12/08/2025,58.765,58.5,59.07,57.77,60.32K,-0.94%
